data,1USD,1EUR
20200102;3,8000;4,2571
20200103;3,8213;4,2569
20200107;3,7861;4,2347
20200108;3,8123;4,2465
20200109;3,8251;4,2459
20200110;3,8272;4,2467
20200113;3,8101;4,2353
20200114;3,8019;4,2323
20200115;3,7992;4,2279
20200116;3,7968;4,2348
20200117;3,8053;4,2344
20200120;3,8277;4,2447
20200121;3,8284;4,2459
20200122;3,8202;4,2370
20200123;3,8308;4,2463
20200124;3,8475;4,2461
20200127;3,8725;4,2679
20200128;3,8844;4,2794
20200129;3,8871;4,2766
20200130;3,8856;4,2813
20200131;3,8999;4,3010
20200203;3,8864;4,3034
20200204;3,8773;4,2867
20200205;3,8654;4,2620
20200206;3,8672;4,2535
20200207;3,8947;4,2664
20200210;3,8996;4,2699
20200211;3,9041;4,2609
20200212;3,9010;4,2599
20200213;3,9104;4,2557
20200214;3,9098;4,2402
20200217;3,9189;4,2502
20200218;3,9448;4,2714
20200219;3,9556;4,2732
20200220;3,9621;4,2789
20200221;3,9623;4,2831
20200224;3,9772;4,3017
20200225;3,9624;4,2996
20200226;3,9573;4,3093
20200227;3,9413;4,3100
20200228;3,9255;4,3355
20200302;3,9023;4,3237
20200303;3,8804;4,3173
20200304;3,8536;4,2993
20200305;3,8479;4,2994
20200306;3,8231;4,3178
20200309;3,7899;4,3176
20200310;3,8058;4,3200
20200311;3,8186;4,3167
20200312;3,8642;4,3451
20200313;3,9067;4,3618
20200316;3,9231;4,3911
20200317;4,0460;4,4886
20200318;4,0749;4,4806
20200319;4,2421;4,5917
20200320;4,2400;4,5459
20200323;4,2654;4,5571
20200324;4,2421;4,6044
20200325;4,2220;4,5779
20200326;4,1988;4,5962
20200327;4,1127;4,5246
20200330;4,0933;4,5395
20200331;4,1466;4,5523
20200401;4,1701;4,5694
20200402;4,1917;4,5769
20200403;4,2396;4,5792
20200406;4,2257;4,5612
20200407;4,1717;4,5342
20200408;4,1801;4,5362
20200409;4,1744;4,5370
20200410;4,1566;4,5484
20200414;4,1666;4,5512
20200415;4,1519;4,5389
20200416;4,1631;4,5326
20200417;4,1886;4,5367
20200420;4,1525;4,5175
20200421;4,1779;4,5276
20200422;4,1736;4,5329
20200423;4,2093;4,5444
20200424;4,2142;4,5330
20200427;4,1696;4,5240
20200428;4,1840;4,5399
20200429;4,1807;4,5432
20200430;4,1729;4,5424
20200504;4,1646;4,5582
20200505;4,1927;4,5476
20200506;4,2022;4,5390
20200507;4,2162;4,5505
20200508;4,2065;4,5577
20200511;4,2126;4,5572
20200512;4,2095;4,5549
20200513;4,2111;4,5661
20200514;4,2269;4,5693
20200515;4,2135;4,5552
20200518;4,2224;4,5644
20200519;4,1645;4,5610
20200520;4,1619;4,5540
20200521;4,1346;4,5365
20200522;4,1503;4,5234
20200525;4,1428;4,5111
20200526;4,0885;4,4800
20200527;4,0504;4,4378
20200528;4,0244;4,4264
20200529;4,0031;4,4503
20200601;3,9680;4,4202
20200602;3,9303;4,3902
20200603;3,9121;4,3859
20200604;3,9573;4,4347
20200605;3,9217;4,4443
20200608;3,9197;4,4291
20200609;3,9453;4,4436
20200610;3,9180;4,4544
20200612;3,9299;4,4506
20200615;3,9413;4,4403
20200616;3,9058;4,4278
20200617;3,9532;4,4503
20200618;3,9589;4,4534
20200619;3,9741;4,4573
20200622;3,9667;4,4524
20200623;3,9311;4,4386
20200624;3,9395;4,4532
20200625;3,9623;4,4495
20200626;3,9697;4,4616
20200629;3,9656;4,4631
20200630;3,9806;4,4660
20200701;3,9591;4,4465
20200702;3,9528;4,4659
20200703;3,9764;4,4671
20200706;3,9588;4,4697
20200707;3,9689;4,4710
20200708;3,9666;4,4739
20200709;3,9486;4,4738
20200710;3,9646;4,4745
20200713;3,9564;4,4745
20200714;3,9570;4,4916
20200715;3,9117;4,4738
20200716;3,9422;4,4913
20200717;3,9263;4,4827
20200720;3,8997;4,4683
20200721;3,8812;4,4417
20200722;3,8534;4,4401
20200723;3,8060;4,4108
20200724;3,8029;4,4117
20200727;3,7643;4,4023
20200728;3,7532;4,3987
20200729;3,7610;4,4194
20200730;3,7549;4,4090
20200731;3,7166;4,4072
20200803;3,7499;4,4168
20200804;3,7364;4,4060
20200805;3,7143;4,3979
20200806;3,7240;4,4101
20200807;3,7302;4,4139
20200810;3,7393;4,4023
20200811;3,7390;4,4016
20200812;3,7558;4,4123
20200813;3,7176;4,4011
20200814;3,7227;4,3988
20200817;3,7076;4,3892
20200818;3,6895;4,3953
20200819;3,6732;4,3864
20200820;3,7164;4,3991
20200821;3,7164;4,3902
20200824;3,7273;4,4064
20200825;3,7144;4,3915
20200826;3,7269;4,4032
20200827;3,7286;4,4124
20200828;3,6983;4,4043
20200831;3,6924;4,3969
20200901;3,6707;4,3946
20200902;3,7191;4,4097
20200903;3,7337;4,4181
20200904;3,7533;4,4508
20200907;3,7666;4,4570
20200908;3,7652;4,4461
20200909;3,7871;4,4550
20200910;3,7610;4,4504
20200911;3,7534;4,4504
20200914;3,7522;4,4490
20200915;3,7445;4,4492
20200916;3,7526;4,4528
20200917;3,7713;4,4514
20200918;3,7585;4,4574
20200921;3,7963;4,4800
20200922;3,8359;4,5055
20200923;3,8399;4,4946
20200924;3,8833;4,5272
20200925;3,9016;4,5477
20200928;3,9083;4,5497
20200929;3,9228;4,5834
20200930;3,8658;4,5268
20201001;3,8513;4,5153
20201002;3,8366;4,4940
20201005;3,8252;4,4944
20201006;3,8180;4,4961
20201007;3,8126;4,4832
20201008;3,8175;4,4900
20201009;3,7913;4,4745
20201012;3,7927;4,4798
20201013;3,7932;4,4737
20201014;3,8301;4,4963
20201015;3,8904;4,5545
20201016;3,8976;4,5621
20201019;3,8761;4,5498
20201020;3,8926;4,5865
20201021;3,8706;4,5869
20201022;3,8734;4,5877
20201023;3,8665;4,5772
20201026;3,8759;4,5774
20201027;3,8860;4,5890
20201028;3,9313;4,6189
20201029;3,9505;4,6330
20201030;3,9563;4,6188
20201102;3,9557;4,6048
20201103;3,9069;4,5699
20201104;3,8996;4,5532
20201105;3,8353;4,5233
20201106;3,8194;4,5277
20201109;3,7787;4,4870
20201110;3,8168;4,5063
20201112;3,7995;4,4868
20201113;3,8015;4,4960
20201116;3,7782;4,4753
20201117;3,7877;4,4953
20201118;3,7621;4,4729
20201119;3,7872;4,4799
20201120;3,7677;4,4679
20201123;3,7616;4,4680
20201124;3,7625;4,4714
20201125;3,7556;4,4710
20201126;3,7586;4,4742
20201127;3,7614;4,4843
20201130;3,7364;4,4779
20201201;3,7367;4,4769
20201202;3,7038;4,4642
20201203;3,6981;4,4789
20201204;3,6765;4,4732
20201207;3,7001;4,4745
20201208;3,6914;4,4767
20201209;3,6657;4,4449
20201210;3,6574;4,4276
20201211;3,6630;4,4385
20201214;3,6548;4,4432
20201215;3,6554;4,4441
20201216;3,6334;4,4347
20201217;3,6254;4,4348
20201218;3,6322;4,4493
20201221;3,7082;4,5149
20201222;3,6921;4,5069
20201223;3,6919;4,5019
20201224;3,6981;4,5084
20201228;3,6639;4,4879
20201229;3,6778;4,5051
20201230;3,6901;4,5272
20201231;3,7584;4,6148
