data;1USD;1EUR
20220103;4,0424;4,5889
20220104;4,0468;4,5737
20220105;4,0396;4,5672
20220107;4,0279;4,5576
20220110;4,0064;4,5377
20220111;4,0106;4,5454
20220112;3,9879;4,5332
20220113;3,9463;4,527
20220114;3,9597;4,5372
20220117;3,9567;4,5201
20220118;3,9734;4,5275
20220119;3,993;4,5279
20220120;3,9833;4,5201
20220121;3,9953;4,5303
20220124;4,0049;4,5358
20220125;4,0593;4,5821
20220126;4,0684;4,592
20220127;4,083;4,5713
20220128;4,1048;4,5697
20220131;4,1147;4,5982
20220201;4,0689;4,582
20220202;4,0283;4,55
20220203;4,0267;4,5439
20220204;3,9657;4,5459
20220207;3,9872;4,555
20220208;3,9693;4,5274
20220209;3,953;4,5167
20220210;3,9218;4,4879
20220211;3,9665;4,5163
20220214;4,0439;4,5743
20220215;3,974;4,5091
20220216;3,9478;4,4916
20220217;3,9687;4,5088
20220218;3,9798;4,5256
20220221;3,9769;4,5193
20220222;4,012;4,5416
20220223;3,9937;4,5352
20220224;4,1281;4,6284
20220225;4,1683;4,6608
20220228;4,1965;4,6909
20220301;4,2193;4,7241
20220302;4,3302;4,7989
20220303;4,3257;4,7931
20220304;4,391;4,8363
20220307;4,5722;4,9647
20220308;4,5115;4,9121
20220309;4,4147;4,8429
20220310;4,3482;4,8013
20220311;4,3694;4,7924
20220314;4,3221;4,7465
20220315;4,2992;4,7311
20220316;4,2828;4,7055
20220317;4,2403;4,6876
20220318;4,2707;4,7221
20220321;4,2444;4,693
20220322;4,272;4,6975
20220323;4,2772;4,7036
20220324;4,331;4,7589
20220325;4,3125;4,7459
20220328;4,2784;4,702
20220329;4,2917;4,7144
20220330;4,1688;4,6507
20220331;4,1801;4,6525
20220401;4,1978;4,6428
20220404;4,2073;4,6373
20220405;4,2233;4,6317
20220406;4,2606;4,6539
20220407;4,2727;4,6478
20220408;4,2703;4,6405
20220411;4,2586;4,6451
20220412;4,2926;4,6626
20220413;4,2872;4,646
20220414;4,2581;4,6447
20220415;4,2865;4,6378
20220419;4,2887;4,6361
20220420;4,2708;4,6295
20220421;4,2596;4,6523
20220422;4,2935;4,6361
20220425;4,3188;4,6405
20220426;4,3469;4,6429
20220427;4,4453;4,7076
20220428;4,4613;4,6915
20220429;4,4072;4,6582
20220502;4,4454;4,6806
20220504;4,4456;4,6777
20220505;4,4017;4,6658
20220506;4,4502;4,6979
20220509;4,4784;4,7059
20220510;4,4223;4,6761
20220511;4,419;4,67
20220512;4,4863;4,6841
20220513;4,4849;4,6679
20220516;4,4785;4,6724
20220517;4,4379;4,6558
20220518;4,4279;4,6528
20220519;4,4231;4,6429
20220520;4,3832;4,6366
20220523;4,3369;4,6171
20220524;4,3071;4,6107
20220525;4,3069;4,5955
20220526;4,3189;4,6135
20220527;4,2966;4,6102
20220530;4,2617;4,5869
20220531;4,2651;4,5756
20220601;4,2817;4,5891
20220602;4,2931;4,5876
20220603;4,2689;4,5908
20220606;4,2675;4,588
20220607;4,2935;4,5855
